epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.288,1.77381,2.88968,2.54646,0.32795,0.48175,0.32384,0.16882,1.6046,2.45096,3.19704,0.0673882,0.000329412,0.000329412
2,880.298,1.65383,2.05217,2.44803,0.48309,0.48467,0.43497,0.22622,1.56704,1.99296,3.37807,0.034386,0.000660558,0.000660558
3,1231.12,1.62702,1.96286,2.45345,0.54533,0.5604,0.56947,0.3016,1.57824,1.76954,3.11327,0.00138166,0.000989504,0.000989504
4,1724.04,1.61411,1.85461,2.45782,0.68531,0.63161,0.70245,0.39791,1.62117,1.554,2.8909,0.0009901,0.0009901,0.0009901
5,2113.9,1.56605,1.72892,2.38659,0.6707,0.64869,0.71763,0.39699,1.52768,1.49359,3.04937,0.0009868,0.0009868,0.0009868
6,2470.49,1.58467,1.72759,2.44129,0.69376,0.72501,0.74916,0.41476,1.59904,1.391,2.82763,0.0009835,0.0009835,0.0009835
7,2824.47,1.56355,1.6689,2.39293,0.73142,0.68003,0.745,0.4235,1.53661,1.43116,3.13689,0.0009802,0.0009802,0.0009802
8,3231.8,1.56956,1.64596,2.44172,0.72163,0.66789,0.75037,0.43688,1.52106,1.38678,2.82239,0.0009769,0.0009769,0.0009769
9,3725.35,1.51219,1.57545,2.3666,0.68503,0.71724,0.7474,0.43251,1.44739,1.37,2.87636,0.0009736,0.0009736,0.0009736
10,4121.71,1.53113,1.57409,2.41749,0.70678,0.69322,0.71393,0.40591,1.50774,1.36445,3.10038,0.0009703,0.0009703,0.0009703
11,4535.58,1.4966,1.53523,2.39285,0.73112,0.73676,0.76259,0.44987,1.46753,1.37161,3.05761,0.000967,0.000967,0.000967
12,4931.96,1.49492,1.51035,2.40995,0.73133,0.64956,0.75463,0.45133,1.47717,1.4311,2.9513,0.0009637,0.0009637,0.0009637
13,5283.37,1.49586,1.49953,2.3727,0.71654,0.77656,0.79928,0.47548,1.4912,1.34347,2.78939,0.0009604,0.0009604,0.0009604
14,5621.93,1.4716,1.44879,2.31982,0.74631,0.76853,0.81053,0.48912,1.41498,1.32003,3.01875,0.0009571,0.0009571,0.0009571
15,6076.37,1.46118,1.42486,2.36067,0.75162,0.6842,0.77206,0.45565,1.47127,1.32741,3.14387,0.0009538,0.0009538,0.0009538
16,6532.49,1.47088,1.41116,2.34847,0.78396,0.75059,0.82005,0.5024,1.48237,1.25137,3.03508,0.0009505,0.0009505,0.0009505
17,6875.24,1.44991,1.3867,2.37413,0.79216,0.76347,0.82482,0.49836,1.43863,1.19356,2.88317,0.0009472,0.0009472,0.0009472
18,7271.77,1.4378,1.34624,2.29246,0.79569,0.80237,0.85302,0.52203,1.44795,1.13835,2.79435,0.0009439,0.0009439,0.0009439
19,7736,1.41202,1.33177,2.34954,0.83324,0.7727,0.85453,0.52389,1.41975,1.19625,3.06637,0.0009406,0.0009406,0.0009406
20,8159.58,1.42887,1.32713,2.3681,0.79947,0.78913,0.85839,0.54231,1.38752,1.05781,2.94506,0.0009373,0.0009373,0.0009373
21,8580.67,1.43002,1.28177,2.32296,0.83684,0.78433,0.85019,0.52112,1.42083,1.10083,2.96679,0.000934,0.000934,0.000934
22,8951.31,1.4356,1.29661,2.32515,0.78847,0.77697,0.83008,0.52559,1.41389,1.08016,2.87715,0.0009307,0.0009307,0.0009307
23,9309.56,1.3732,1.22433,2.2515,0.84803,0.78198,0.8592,0.53759,1.40275,1.09937,3.1172,0.0009274,0.0009274,0.0009274
24,9682.37,1.39308,1.26861,2.28905,0.76336,0.78011,0.83604,0.52588,1.37548,1.13397,3.07306,0.0009241,0.0009241,0.0009241
25,10079,1.36551,1.20952,2.23748,0.86002,0.80331,0.87547,0.55566,1.38262,1.10357,2.85153,0.0009208,0.0009208,0.0009208
26,10451.8,1.38557,1.26802,2.28778,0.7719,0.84095,0.86876,0.55542,1.35662,1.07118,3.12178,0.0009175,0.0009175,0.0009175
27,10954.8,1.38286,1.23429,2.26651,0.82239,0.82129,0.87179,0.54212,1.39048,1.1559,2.95441,0.0009142,0.0009142,0.0009142
28,11359,1.40014,1.25344,2.27359,0.83956,0.7802,0.85167,0.53678,1.35172,1.04162,2.85005,0.0009109,0.0009109,0.0009109
29,11739.5,1.36185,1.21209,2.3162,0.8648,0.77448,0.87708,0.55012,1.35539,1.04704,2.83619,0.0009076,0.0009076,0.0009076
30,12108.4,1.35807,1.19637,2.25858,0.85248,0.82474,0.87394,0.56821,1.33184,1.07025,2.9962,0.0009043,0.0009043,0.0009043
31,12492.4,1.32866,1.14446,2.22368,0.86416,0.80036,0.87114,0.56037,1.35575,1.06188,2.82167,0.000901,0.000901,0.000901
32,12967.5,1.33554,1.16053,2.22785,0.87254,0.79522,0.86522,0.54778,1.36531,1.03323,2.83269,0.0008977,0.0008977,0.0008977
33,13385.9,1.34535,1.15445,2.21435,0.82362,0.81022,0.85584,0.55466,1.35468,1.05272,2.88667,0.0008944,0.0008944,0.0008944
34,13802,1.33208,1.18006,2.28446,0.84499,0.83259,0.89022,0.56246,1.38986,0.99651,2.93847,0.0008911,0.0008911,0.0008911
35,14176,1.33353,1.13683,2.22233,0.83712,0.83958,0.88791,0.56329,1.31822,0.96589,3.09232,0.0008878,0.0008878,0.0008878
36,14547.8,1.34047,1.13081,2.25123,0.84645,0.87181,0.90257,0.58167,1.35793,0.97309,3.0203,0.0008845,0.0008845,0.0008845
37,14986,1.32071,1.13279,2.20646,0.86191,0.83906,0.89921,0.58158,1.3319,1.00063,2.88308,0.0008812,0.0008812,0.0008812
